Country,0.3,std,1.0,0.0
USA,0.9269152323471057,0.9306010183119282,0.8670239218767385,0.9454474014923162
AUT,0.04567889536783041,0.047751455286653866,0.026048845098260533,0.05824084384472785
BEL,0.7611120205088646,0.7635774995380569,0.7172042436947792,0.7734832298486947
BGR,1.0,1.0,1.0,1.0
CZE,0.9363674685667649,0.9397815565759126,0.8703644018821384,0.9519385965946808
DNK,0.4399640475812515,0.4403204506769933,0.4343726060223869,0.4413596195851143
FIN,0.8114728175288342,0.8126060175634044,0.8098997586349573,0.8133735148221316
FRA,0.8473357471875963,0.8502228330461202,0.7857331989527747,0.8622917845872218
DEU,0.12450668779576665,0.1266522979012748,0.11731231343320786,0.13222911180053046
GRC,0.8375639676091053,0.8407910982794248,0.7679765957590691,0.8546494864971235
HUN,0.7968349050836842,0.7961215215217883,0.6894986233057532,0.8158699439525114
IRL,0.11290244712120397,0.11163611922240228,0.015939312251378863,0.131776919371729
ITA,0.17203606219862044,0.17186381416892887,0.01239743146712604,0.20246238348966883
LTU,0.5154993061309083,0.5145300596989295,0.39638732415315014,0.542372040786025
LUX,0.7645584654467057,0.7672137414134081,0.6786506051392693,0.7806993037432315
NLD,0.491854756771792,0.4931602860966611,0.4575798585510434,0.5046992192980972
NOR,0.0,0.0,0.008143997559508554,0.0
POL,0.6200957449406007,0.6179614983004167,0.520934009958107,0.6447312214669229
PRT,0.5412207501943505,0.5401465470529123,0.4287528594481442,0.5666959347420633
ROU,0.964318585927824,0.9652275754577477,0.9522695842164601,0.9695920547130321
SVK,0.9641671877146197,0.9661386305769091,0.9144905236025246,0.9767039126960714
SVN,0.6251138076320848,0.6240902332953843,0.5200690305928114,0.6514317990263767
ESP,0.8748719725370613,0.8770411320985705,0.8435216064247549,0.8862234439026977
SWE,0.4540988306678535,0.45570620733296985,0.4172755968056792,0.4628607368474323
CHE,0.7599221158736156,0.7617274092017501,0.7035468919134537,0.7756499771977621
GBR,0.1182141783978269,0.11973270019470392,0.0,0.13976220867967512
